Timestamp	BreakoutSession	Presenter	Der/Die Vortragende hat klar und deutlich gesprochen	Der/Die Vortragende hat in einer guten Lautstärke gesprochen	Der/Die Vortragende hat in einer guten Geschwindigkeit gesprochen	Der/Die Vortragende wirkte entspannt	Die Einleitung hat meine Aufmerksamkeit geweckt	Der/Die Vortragende hat gute Beispiele gegeben	Der Schluss hat die Präsentation angemessenen abgeschlossen	Ich habe durch diese Präsentation etwas gelernt	Die Strukutur der Präsentation	Die Menge an Text auf den Folien	Die Menge an Bildern auf den Folien	Der Inhalt der Präsentation war angemessen	Die Reihenfolge der Inhalte war logisch	Der/Die Vortragende hat eine kurze Zusammenfassung gegeben, in der die Hauptpunkte hervorgehoben wurden	Audiovisuelle Medien haben die Präsentation der Inhalte deutlich verbessert und unterstützt	Die Zeiteinteilung hat den wichtigsten Themen ausreichend Aufmerksamkeit geschenkt; ich hatte nicht das Gefühl, dass etwas gehetzt oder übermäßig in die Länge gezogen wurde.	Die Präsentation dauerte 10 Minuten	Gesamteindruck	Was war das Beste an der Präsentation (inhaltlich und/oder hinsichtlich der Ausführung)?	Was kann an dieser Präsentation verbessert werden und wie?
11/15/2022 8:30:15	1	1	5	5	5	4	3	3		4	4	4	4	4	4	3	4	4		4	Der gute Zusammenhang und Beispielhafte darstellungen	Mehr mit den Abbildungen arbeiten
11/15/2022 8:30:15	1	1	5	5	4	4	3	3	4	4	4	4	5	4	4	3	4	4	5	4	Bilderwahl für die einzigen Thementeilgebiete	 Versuchen beim Anfang (bei der Einleitung) interessanteren und nicht so schnellen  Einstieg zu machen, damit die Aufmerksamkeit da ist
11/15/2022 8:40:25	1	1	5	5	5	4	4	5	4	5	5	5	5	5	5	3	4	4	5	5	die Beispielbilder und Erklärungen. So konnte man sich die Inhalte besser vorstellen.	Vielleicht die Struktur des Vortrags vorher angeben bei vielen Unterpunkten, aber das ist auch Geschmacksache
11/15/2022 9:00:10	1	1	4	5	4	4	4	4	5	4	4	5	4	4	5	4	4	5	3	4	Viele Abbildungen	mehr auf die Zeit achten
11/15/2022 9:01:21	1	1	5	5	4	5	2	4		3	3	3	5	5	4	4	4	4	3		Erklärungen/Verdeutlichung an Bildern	Mir hat ne Gliederung gefehlt bzw. ne Übersicht am Anfang
11/15/2022 9:04:05	1	1	4	5	4	4	3	4	3	5	4	4	4	4	4	1	4	4	3	5	Beispielbilder zu haben	Ich denke rückblickend findet man immer noch Kleinigkeiten, die man an der PP verbessern kann. Dennoch war sie bereits gut.
11/15/2022 9:06:53	1	1	4	5	4	2		4	3	5	4	2	5	5	5	1		2		3	Der Vergleich und auch die Darstellung des Wandels der Geschlechtsorgane & -merkmale zwischen Menschen und den verschiedenen Menschenaffen-Arten war sehr gut präsentiert und auch interessant zu lernen!	Die Stichpunkte auf den Folien waren oft unverständlich formuliert. Wenn ich sie nochmal gelesen habe, habe ich oft nicht verstanden, was damit gemeint war und dadurch waren sie eher eine schlechte btz. nicht wirklich eine Unterstützung des Vortrags. Die Grafiken hingegen waren sehr gut und verständlich :)
11/15/2022 8:40:16	1	2	5	5	5	4	4	3	4	4	5	4	4	4	4	3	4	4	5	4	Gestaltung der einigen Folien waren sehr interessant	Versuchen weniger Text mehr Bilder zu zeigen  Es waren zwar gute Informationen da und die Folien waren schön gestaltet aber manchmal fehlten Bilder dazu
11/15/2022 8:40:44	1	2	5	5	5	5	4	5		4	4	4	4	5	5				4	4	Ihre generelle Präsenation, man hat gemerkt, dass sie sich mit dem Thema beschäftig hat	keine Anmerkungen
11/15/2022 8:49:26	1	2	5	5	5	5	3	3	2	3	2	3	3	3	4	2	2	3	5	3	die Vielfältigkeit und das Model als Beispiel	etwas übersichtlicher strukturieren 
11/15/2022 9:01:04	1	2	4	4	4	3	4	4	4	4	5	4	4	4	4	4	4	4	5	4	sehr verständlich erklärt	mehr abbildungen
11/15/2022 9:03:48	1	2	4	4	4	4	3	3	3	5	4	4	4	4	4	4	2	4	5	5	Guter Überblick	schwierige Aufgabe, daher nur Überblick; Genauere Beleuchtung wäre interessant, aber schwer möglich
11/15/2022 9:05:59	1	2	4	5	5	5	4	4	4	2	4	5	5	5	5	5	5	5	5	5	Anschauliche Folien :)	ist schön so
11/15/2022 9:16:04	1	2	5	3	4	4	3	4	4	4	4	4	5	4		3	4	4	4	5	Sehr relevantes Thema. Einblick in Variation der möglichen Operation.	Vielleicht doch ein Thema noch etwas vertiefender und anderes rausnehmen/nur ergänzend nennen. Es war auch im Vergleich etwas leise, was aber dem online Format geschuldet sein könnte (unterschiedliche Mikrofone)
11/15/2022 9:17:05	1	2	5	5	5	5	5	4	5	4	5	5	5	5	5	4	5	5		5	Die Präsentation wurde sehr gut und sicher präsentiert und der Inhalt sehr verständlich vermittelt, sodass, egal welchen Wissensstand man zum Thema vorher schon hatte, ich denke jeder alles sehr gut verstehen und aufnehmen konnte.	-
11/15/2022 8:46:49	1	3	5	5	4	3	3	3	4	4	4	3	3	4	4	3	4	4	5	3	Die letzten 5 Minuten des Vortrags gefielen mir die Folien und die Vortragweise dazu	Am Anfang war es zu viel Text auf den Folien- nächstes mal am besten versuchen den Einstieg mit Bildern oder mit kurzen Stichpunkten mit kleinen Bildern zu machen
11/15/2022 8:46:55	1	3	4	5	5	4	4	4	4	5	5	5	5	4	4	4		4	4	4	sehr gute erklärungen zu ihren Abbldungen	keine Angaben
11/15/2022 9:06:18	1	3	4	4	4	4	3	4	4	5	5	4	4	5	4	4	2	4	4	4	super interessantes Thema	evtl mehr Enthusiasmus beim Vorstellen (hab ich auf jeden Fall nicht besser gemacht)
11/15/2022 9:08:22	1	3	4	4	3	2	3	3	1	3	3	4	2	3	4	3	2	3	2	3	War okay	Klarer Abschluss und roter Faden, da die Struktur nicht ganz logisch war -> sprachlich hervorheben, was der Gedankengang ist
11/15/2022 10:02:04	1	3	4	4	4	4	4	4	4	3	4	4		4		4	5	4	4	4	Anschaulich	kürzer
11/15/2022 8:58:10	1	4	5	5	5	5	4	4	4	4	4	4	4	4	4	3	4	4	5	4	Guter/ Angemessener/ Interessanter Einstieg	Die Folien waren sehr monoton, also links Stichpunkte rechts ein Bild Versuchen, die Foliengestaltung zu ändern
11/15/2022 8:58:31	1	4	5	5	5	5	5	5	5	5	5	5	5	5	5			5	5	5	Die Präsentationsgeschwindigkeit war sehr angenehm und die Folien sehr übersichtlich	keine Anmerkungen
11/15/2022 8:58:41	1	4	5	5	5	5	5	5		5	5	5	5	5	5	4	4	5	5	5	der Einstieg	manchmal etwas weniger Text auf den Folien
11/15/2022 9:01:21	1	4	5	5	5	5	3	4	4	4	4	3	4	4	4	3	2	3	4	5	sehr ästethisch	kaum etwas verbesserbar
11/15/2022 9:03:46	1	4	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	1	1	super struktiriert, guter Überblick, tolle Vortragsart	TIPP: auf Hygiene achten für Frauen ggf. auch irreführend, da viele Frauen/Mädchen sich viel zu viel im Intimbereich säubern und dadurch anfälliger werden für bestimmte Probleme wie Pilzinfektion oder allgemeine Schleimhautprobleme. Gerade bei Aufklärung in Schule wichtig zu erwähnen, dass zum Beispiel Reinigung mit Wasser vollkommen ausreicht und die Vagina ein sich selbst reinigendes Organ ist. Viele Mädchen haben nämlich eh schon Angst, dass sie unten "eklig" sind...
11/15/2022 9:10:27	1	4	4	5	3	3	5	5	5	4	4	4	5	3	5	4			4	4	Schön gestaltete Präsi, nützliche Zusammenfassungen der Themenbereiche	Etwas weniger Inhalt, dann kein Zeitmangel
11/15/2022 9:16:06	1	5	4	3	4	4	3	3	3	4	4	4	4	4	4	4		4		4	Gute Abbildung und Präsentationsgeschwindigkeit	Vielleicht etwas lauter und deutlicher sprechen
11/15/2022 9:17:38	1	5	5	5	5	5	3	4	3	4	4	4	5	5	5	3	4	4	3	4	die verschiedenen Beispiele	vielleicht ein besserer Abschluss
11/15/2022 9:22:27	1	5	4	4	4	4	3	4	3	3	5	4	5	4	5	3	4	4	2	4	Bildbeispiele 	Es war noch vergleichsweise viel Zeit über, die du durchaus noch hättest nutzen können.
11/15/2022 10:00:50	1	5	4	2	4	3	3	3	3	3	4	2	3	3	4	3	3	4	4	3	Die Struktur und die Erklärungen	Anschaulichere Folien (sehr viel Text)
11/15/2022 9:27:12	1	6	5	5	5	5	5	5	4	5	5	5	5	5	5	4		5	3	5	Inhaltlich sehr ausführlich, sehr laut und deutlich gesprochen	Keine angaben
11/15/2022 9:27:15	1	6	5	5	4	4	3	3	4	4	4	4	3	4	4	3	4	3	5	4	Die Vortragsweise und Ermittlung von Wissen hat mir besonders gut gefallen	Einige Folien haben zu viel Text und kein Bild dazu
11/15/2022 9:28:01	1	6	5	5	5	5	3	4	5	5	4	2	4	4	4	4	4	4	5	4	viele Beispiele und Wichtigkeiten hervorgehoben, auch dass über Didaktik gesprochen wurde	weniger Text auf den Folien bzw. Stichpunkte macht es übersichtlicher 
11/15/2022 9:34:22	1	6	4	5	4	4	3	5	4	4	5	3	4	5	5	3	4	4	4	5	Es wurde auch didaktische Verknüpfung mit eingebracht. Du wusstest direkt was du skippen kannst um in der Zeit zu bleiben.	Bei einigen Folien etwas den Text kürzen/in Stichpunkte und ggf durch fette Schrift einzelne Wörter hervorheben, für eine noch bessere Übersichtlichkeit
11/15/2022 9:41:53	1	6	4	5	3	2	3	2	2	5	5	3	5	4	4	2	3	1		2	Die Vielfalt der der vorgestellten Themenabschnitte und Informationen	Die Vortragsweise wirkte teilweise sehr unmotiviert bis gelangweilt und gegen Ende dann gehetzt. Als Tipp würde ich geben weniger Kommentare wie "Ich denke das ist allen bekannt". Man muss immer davon ausgehen, dass auch Leute nicht in der Vorlesung waren, und generell nie alle dasselbe Vorwissen mitbringen. Auch wenn wir alle Biologie studieren, ist nicht jeder in jedem Thema gleichermaßen belesen. Du hast sehr viel mit Fachbegriffen gearbeitet, die manchmal nicht einmal kurz "erklärt" bzw. "übersetzt" wurden, es kann also gut sein, dass manche Zuhörer nicht mit jedem Begriff etwas anfangen konnten. Die späteren Folien ware dann nicht nur sehr textlastig, sondern auch aus Zeitdruck schnell übersprungen, wodurch man als Zuhörer / Zuschauer auch ein Gefühl von Überhetztheit vermittelt bekommen hat.
11/15/2022 10:05:31	1	6	5	5	4	5	3	3	4	4	4	3	4	3	5	5	4	3	3	5	Anschauliche Erklärungen und didaktische Hinweise	Umfang etwas zu weit gefasst, vllt nächstes Mal auf Didaktik oder Biologie konzentrieren, nicht beides; manchmal etwas viel Text auf den Folien
11/15/2022 9:38:08	1	8	5	5	5	5	5	5	4	5	5	5	5	5	5	4		5	4	5	Die Folien sind sehr übersichtlich und sie spricht sehr deutlich 	keine angaben
11/15/2022 9:38:14	1	8	5	5	4	3	3	3	4	4	4	4	4	4	4	3	4	4	5	4	Gestaltung der Folien gefielen mir	Am Anfang wurde zu lange über die erste Folie geredet, weshalb man das Interesse am Vortrag etwas sinkt
11/15/2022 9:38:24	1	8	5	5	5	5	4	4	3	5	5	5	5	5	4	4	5	5	5	5	die Struktur 	vielleicht etwas mehr Text auf den Folien, dann kann man besser folgen
11/15/2022 9:46:12	1	8	4	4	4	4	3	4	3	3	4	4	5	4	5	3	4	4	5	4	Perfekt in den 5min geblieben ohne, dass es zu oberflächlich wirkte.	Kleinigkeiten in der Gestaltung der Folien, dass z.B. der vorhandene Text besser über die Folie verteilt ist.
11/15/2022 9:48:18	1	9	5	5	5	4	4	3	4	4	4	4	4	4	4	3	3	4	5	4	Folien schlicht gehalten und man konnte ihr gut folgen Angemessene Vortragsweise	Folien monoton gewesen am Anfang, später wurde es besser Rechts Bild links Text oder links Bild und rechts Text
11/15/2022 9:48:18	1	9	5	5	5	5	5	5		5	5	5	5	5	5	3	4	4	5	5	sehr schöne, übersichtliche Folien	vielleicht flüssigerer Abschluss
11/15/2022 10:07:49	1	9	5	5	5	5	3	4	5	4	5	4	5	4	4	4	4	5	5	5	Struktur und informationsgehalt, angenehme Vortragsweise	...passte
11/15/2022 12:34:26	1	9	4	5	4	4	3	4	3	4	4	4	4	4	4	3	4	4	4	4	Ein guter Überblick zum Thema	Der Verhaspler könnte noch vermieden werden, aber im Grunde kann das jedem passieren und finde ich auch völlig legitim, wenn man danach wieder ein kommt.
11/15/2022 9:58:20	1	10	5	5	5	4	4	3	4	4	4	4	2	4	4	3	4	4	5	4	Die Gliederung bzw. Übersicht war ein interessanter Einstieg Konnte die Aufmerksamkeit bekommen	Anfangs keine Bilder eingeblendet, dies erschwert das Interesse der Hörer/Innen zu behalten
11/15/2022 9:58:37	1	10	5	5	5	4	5	4	5	5	5	3	4	5	5	5	5	5	5	4	Lautstärke und Präsentationsgeschwindigkeit war sehr gut	Die Folien waren sehr voll mit Text dies vielleicht komprimieren
11/15/2022 10:10:49	1	10	5	5	5	5	5	4	4	5	5	4	3	5	5	5	3	5	5	5	Sehr schön sprachlich die Übergänge deutlich gemacht und immer in den Zusammenhang eingeordnet, Struktur war die ganze Zeit erkennbar	Etwas weniger Text auf den Folien (vorallem am Ende)
11/15/2022 10:16:25	1	10	5	5	5	5	5	5	3	5	5	4	5	5	5	3	4	5	5	5	der Überblick vor der Präsentation über die Themen	manchmal etwas übersichtlicher auf den Folien sein (aber das ist auch Geschmackssache)
11/15/2022 12:41:43	1	10	4	5	4	4	3	4	4	4	4	4	4	4	5	3	4	4	4	4	Guter Überblick zum Thema 	evtl noch Zahlen zur Verbreitung der Infektion um ein Bild von der Verbreitung zu bekommen
11/15/2022 12:46:13	1	10	4	4	5	4	3	4	4	4	4	4	4	4	5	3	4	4	4	4	Guter Überblick zum Thema, auch auf Wartezeit auf Spenderorgane eingegangen.	evtl ein Erfahrungsbericht als Beispiel 
11/15/2022 8:32:50	2	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Die Vortragsweise	-
11/15/2022 8:33:34	2	1	5	5	5	5	4	5	5	5	5	5	5	5	5	3	4	5	5	5	Ruhige Vortragsweise und Präsi	War sehr gut :)
11/15/2022 8:33:47	2	1	5	5	5	4	3	5		5	3	4	5	5	4	2	5	4	3	4	Sehr gut und bekannte Beispiele gewählt. Angemessene Abbildungen	Die Themenreihenfolge war zu Beginn etwas verwirrend (Hat eine Sache gezeigt, ist aber erst auf eine andere Sache eingegangen), manche Folienstichpunkte waren nicht gleich selbsterklärend
11/15/2022 8:33:47	2	1	5	5	4	5	4	5	5	5	5	5	4	5	5	5	5	4	4	4	-inhaltlich gut strukturiert, Einleitung und Ende gut abgerundet	viele Informationen zusammengepackt —> weniger ist mehr 
11/15/2022 8:33:49	2	1	4	4	4	4	2	5	5	4	4	4	4	4	4	4	4	4	4	4	Erklärung mit passenden Illustrationen	/
11/15/2022 8:33:52	2	1	5	4	4	3	4	5	4	5	5	4	5	5	4	5	4	5	5	5	Die Verknüpfung des gesprochenen Inhalts mit den gezeigten Bildern	leichte Aufregung in der Stimme bemerkbar, was aber meiner Meinung nach normal ist
11/15/2022 8:34:25	2	1	5	5	5	5	5	5	5	5	5	4	5	5	5	4	2	5	3	5	übersichtlich	war top
11/15/2022 8:34:41	2	1	5	5	5	3	4	4	4	5	5	5	5	5	4	2	4	4	5	4	Mir persönlich hat der Disclaimer zur Sensibilisierung Deiner Sprache am Anfang sehr gefallen, ich finde sich einmal kurz Zeit zu nehmen, um den Raum für mehr Menschen angenehm zu machen, vor allem als erster Vortrag echt super gelungen und hilfreich! Mir haben auch die Grafiken gefallen. Ich fand sie an den richtigen Stellen eingesetzt!	Mir gefällt es immer eine kurze Gliederung zu haben. Sie muss in meinen Augen auch nicht extrem lange ausgeführt sein, mir fällt es so einfach leichter dem Aufbau / roten Faden im Inhalt zu folgen.  Außerdem hilft es mir bei Vorträgen auch der vortragenden Person "sprechen zu sehen". Auch im digitalen Raum.
11/15/2022 8:35:20	2	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Sehr interessante Themen gewählt, gut verständlich erklärt und kudos für die Erwähnung des Unterschieds zwischen Gender und Sex :)	%
11/15/2022 8:31:45	2	2	5	5	5	5	3	3	5	5	4	3	5	5	5	1	5	5	4	4	Die PowerPoint	Zusammenfassender Schluß
11/15/2022 8:49:50	2	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	Art und Weise wie vorgetragen wurde	mehr auf die Zeit achten
11/15/2022 8:50:48	2	2	5	5	4	5	4	4	5	5	5	4	4	5	5	4	4	4	5	5	Das behandeln mehrerer Themen	/
11/15/2022 8:51:06	2	2	4	4	5	3	4	4	4	5	5	5	5	4	5	4	5	4	4	4	Ich fand Deine Aufschlüsselung am Anfang von Geschlecht sehr gelungen! Außerdem mochte ich auch sehr, dass Du aufgegriffen hast, dass Hermaphroditismus ein veralteter Begriff ist. Also generell, was gerade aktuell ist und was Begriffe sind, die noch gängig sein können, aber "veraltet" sind.	Du bzw. Ihr habt in Eurem Vortrag ja auch in den Folien den Begriff der "Geschlechtsangleichung" gewählt, ich hätte mich gefreut, dass Deine Sprache diese Wortwahl beibehält, weil es eine Angleichung an die Identität ist und nicht eine Umwandlung. Auch wenn das Thema so hieß, kann man das sogar auch kritisch betrachten oder sogar ansprechen. Ich fand den Ausdruck "Biologisch XX möchte Richtung XY gelesen werden" ein wenig unpassend, weil es meines Erachtens Intention von Trans-Menschen annimmt und wiedergibt. Du hast ja auch Geschlechtsidentität am Anfang auch extra abgetrennt und ich hätte mir hier eine andere Ausdrucksweise, auch eher auf Identität bezogen, passender gefunden. Außerdem hilft es mir bei Vorträgen auch der vortragenden Person "sprechen zu sehen". Auch im digitalen Raum.
11/15/2022 8:51:20	2	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Erklärung, Formulierungen	-
11/15/2022 8:51:49	2	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Sensible Aufbereitung des Themas	%
11/15/2022 8:52:06	2	2	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	die Hormontherapie wie sich versch Jormone auswirken können	/
11/15/2022 8:52:51	2	2	5	5	5	5	4	4	4	5	5	5	5	5	5	3	5	5	4	5	Struktur war sehr gut, gute Menge an Informationen	-
11/15/2022 8:55:06	2	2	4	5	5	4	4	4	3	2	5		5	5	5	2	5	4	4	3	Sehr ansprechende PP	Stimmklang war ziemlich monoton, vielleicht etwas versuchen zu entspannen und aus dem Vortrag mehr eine Geschichte machen, als die Fakten abhaken zu wollen
11/15/2022 9:06:11	2	4	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	4	5	5	viele Beispiele erläutert	nichts, war super
11/15/2022 9:06:58	2	4	4	5	4	4	5	5	5	5	5	4	4	5	5	4	3	4	3	5	Verlinken der Infomaterialien	Redetempo teilweise etwas schnell
11/15/2022 9:07:13	2	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	zusatzmaterial am Ende	/
11/15/2022 9:07:35	2	4	5	5	3	4	4	5	5	5	5	4	5	5	5	4	4	2	2	3	Viele Infos, gute Aufklärung	Wirkte etwas gehetzt
11/15/2022 9:08:21	2	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Sehr interessanter Vortrag, Inhalt und Ausführung TOP	ich war rundum zufrieden
11/15/2022 9:12:30	2	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Guter Überblick über die Arten der Infektionen, Unterrichtsmaterial als Dreingabe sehr gut :)	%
11/15/2022 9:22:29	2	4	5	5	5	5	5	5	5	4	5	4	5	5	5	4	5	5	5	5	Sehr gut nachvollziehbare Struktur, Hinweis auf Lehrmaterial	Alles perfekt :)
11/15/2022 9:31:33	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	4	gut zusammengefasst	etwas zu kurz
11/15/2022 9:33:10	2	5	5	5	5	5	4	5	5	5	5	5	3	5	5	3	3	5	5	4	gute Struktur, angemessene Menge an Informationen	Bilder waren teils zu klein, man konnte es nicht so gut erkennen
11/15/2022 9:33:10	2	5	5	5	5	5	4	4	4	3	4	3	4	5	4	4	4	4	4	4	Abbildungen gut erklärt	an einigen stellen vll weniger text
11/15/2022 9:33:39	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Komplexes Thema gut zusammengefasst	%
11/15/2022 9:33:56	2	5	5	5	4	5	2	4	3	3	5	4	5	5	5	3	5	3	2	3	Gut verständliche und gestaltete Präsi.	Ein paar sprachlich-grammatische Fehler, aber Übung macht bekanntlich den Meister. Außerdem wurde einiges unnötig u.a. durch die Aussprache in die Länge gezogen oder klang sehr monoton
11/15/2022 9:33:59	2	5	5	5	5	5	4	5	4	4	5		5	5	4	3	3	5	5	5	Sehr ruhiges, angenehmes Sprechtempo.	/
11/15/2022 9:34:33	2	5	5	5	5	5	3	5	3	3	5	5	3	4	5	3	3	5	5	4	She ruhige Sprechweise	Triggerwarnung geben (OP Bilder, Blut)
11/15/2022 9:34:59	2	5	4	4	4	2	2	4	3	5	5	3	3	4	4	4	3	4	5	3	Ich fand den roten Faden in Deinem Vortrag persönlich sehr gelungen. Mir fiel es leicht Dir damit zu folgen und Wissen zu verknüpfen.   Für mich war auch Deine Art und Weise zu sprechen sehr angenehm. Die Geschwindigkeit und Lautstärke waren sehr angenehm.	Bei einigen Folien fand ich, dass relativ viel Text, der auch sehr klein war. Gerne da einfach den Text reduzieren oder auf 2 Folien aufteilen, damit man es besser lesen kann.   Bei manchen Folien hatte ich das Gefühl, dass du immer wieder gestottert hast. Mich hat das persönlich nicht so gestört, aber ich hatte das Gefühl, dass Dich das selbst ein weig aus dem Konzept gebracht hat. Mir hilft oft, das Ganze einmal selbst vorzusprechen oder Stichpunkte in meinen Aufzeichnungen zu kürzen, um freiere Sätze zu "erzwingen", aber wie gesagt: Ich fand das nicht schlimm oder so!  Wenn Du noch nie eine Präsentation in Webex freigegeben hast, kann ich Dir nur empfehlen es selbst einmal vorher auszuprobieren, bevor die Veranstaltung beginnt. Technik, etc. zu testen, bevor man selbst z.B. eine Unterrichtseinheit oder Ähnliches anleitet, finde ich sehr sinnvoll.  Außerdem hilft es mir bei Vorträgen auch der vortragenden Person "sprechen zu sehen". Auch im digitalen Raum.
11/15/2022 9:46:14	2	7	4	5	4	3	3			4	4	5	5	4	5		4		3	4	-	Mir hilft es bei Vorträgen auch der vortragenden Person "sprechen zu sehen". Auch im digitalen Raum. Sorgt, zumindest bei mir, dass ich Dir besser folgen kann und beim Thema bin.
11/15/2022 9:47:27	2	7	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Inhaltliche Vollständigkeit 	nichts, war super
11/15/2022 9:48:24	2	7	5	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	gute bildliche Unterstützung	Person könnte noch ein bisschen motivierter sprechen 
11/15/2022 9:48:37	2	7	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	Struktur	-
11/15/2022 9:49:04	2	7	5	5	5	5	4	4	5	5	5	5	3	4	5	4	4	5	5	4	Gute Erklärung der Symptome 	Ein paar mehr Folien 
11/15/2022 9:49:27	2	7	4	4	2	3	3	4	2	4	4	3	5	5	5	3	4	4	4	3	Die Bilder haben die Menge an Infos gut und verständlich dargestellt	Öfter versuchen vor Menschen zu reden und ihr Interesse zu wecken. Es wirkte oftmals so, als wäre die Vortragende Person selbst gelangweilit und gleichzeitig nicht ausreichend vorbereitet, als wäre abgelesen worden
11/15/2022 9:50:57	2	7	3	5	4	3	4	5	5	5	5	4	4	5	5	4	3	4	5	4	Verbindung von Bildern und Erklärungen	mehr Selbstvertrauen in die eigene Präsentation haben
11/15/2022 9:57:08	2	7	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Gute Aufbereitung des Themas	Du wirktest manchmal etwas unsicher. Verbesserungsvorschläge wären dann sehr abhängig davon, woran das lag. Habt ihr den Vortrag vor einer Woche gemacht und du konntest dich einfach nicht mehr so gut erinnern? Warst du nervös? Oder vielleicht einfach müde?
11/15/2022 10:12:42	2	8	4	5	4	4	3	3	3	3	3	3	1	5	4	3	1	3	4	3	Struktur	Mehr Bilder zum Interesse wecken, weniger Text
